id;title;hotelstars;timezone;price;duration;climate;country;countryId;temperatura;landscape;type;transport
221;Hotel Diamonds Athuruga Island Resort;5;5;9349;8;Morski;Malediwy;28;30;2;1;3
222;Hotel Diamonds Thudufushi;5;5;9609;8;Morski;Malediwy;28;30;2;1;3
223;Koralowe love;3;5;6519;9;Morski;Malediwy;28;30;3;2;3
224;Z atolu na atol;3;5;6449;9;Morski;Malediwy;28;30;3;2;3
225;W samo południe;3;-7;6579;10;Górski;Meksyk;32;25;9;2;3
226;Hotel Mrągowo Resort & Spa;4;1;979;6;Morski;Polska;1;22;3;1;1
227;Hotel Skalny Spa;3;1;369;3;Morski;Polska;1;22;6;1;1
228;Aparthotel Blue Marine Mielno;4;1;839;5;Morski;Polska;1;22;3;1;1
229;Hotel Grand Nosalowy Dwór;4;1;359;3;Morski;Polska;1;22;7;1;1
230;Strelicje na klifach;3;1;2609;8;Śródziemnomorski;Portugalia;19;24;3;2;3
231;Hotel Rayavadee;5;7;11269;8;Monsunowy;Tajlandia;33;31;2;1;3
232;Ahoj Zanzibar!;3;3;6759;8;Kontynentalny;Tanzania;27;28;3;2;3
233;Hotel Miramare Sea Resort & Spa;4;1;4789;8;Śródziemnomorski;Włochy;13;27;2;1;3
234;Ateny;3;2;1899;4;Śródziemnomorski;Grecja;15;31;9;2;3
235;Rejs do Zatoki Przemytników;3;2;2214;10;Śródziemnomorski;Grecja;15;31;3;2;3
236;Nisyros Special;3;2;2274;11;Śródziemnomorski;Grecja;15;31;3;2;3
237;Madryt;3;1;2199;4;Kontynentalny;Hiszpania;14;32;9;2;3
238;W rytmie flamenco;3;1;3199;8;Kontynentalny;Hiszpania;14;32;9;2;3
239;Gradac;3;1;1237;5;Śródziemnomorski;Chorwacja;12;30;2;2;2
240;Moja Praga;3;1;848;4;Kontynentalny;Czechy;6;25;9;2;3
241;Tylko dla Ciebie – Sekrety Faraonów;3;2;2949;8;Śródziemnomorski;Egipt;21;28;1;2;3
242;Budapeszt i Tokaj;3;1;901;2;Kontynentalny;Węgry;8;28;9;2;2
243;Rzymskie wakacje;3;1;1198;7;Śródziemnomorski;Włochy;13;27;9;2;3
244;Saluti Roma;3;1;2113;8;Śródziemnomorski;Włochy;13;27;8;2;3
245;Wlochy klasyczne;3;1;1679;6;Śródziemnomorski;Włochy;13;27;8;2;2
246;Toskania My Love;3;1;1609;6;Śródziemnomorski;Włochy;13;27;8;2;2
