id;title;hotelstars;timezone;price;duration;climate;country;countryId;temperatura;landscape;type;transport
134;Ośrodek Konferencyjno-Wypoczynkowy Hyrny;3;1;249;3;Morski;Polska;1;22;7;1;1
135;Warmiński Hotel & Conference;3;1;279;3;Morski;Polska;1;22;9;1;1
136;Hotel Cottonina Mineral Spa Resort;4;1;300;3;Morski;Polska;1;22;5;1;1
137;Folwark Książęcy;3;1;310;3;Morski;Polska;1;22;5;1;1
138;Hotel VidaMar Resort Madeira;5;1;4479;8;Śródziemnomorski;Portugalia;19;24;3;1;3
139;Bożonarodzeniowe Jarmarki;3;2;828;3;Kontynentalny;Czechy;6;25;9;2;2
140;Hotel Malikia Resort Abu Dabbab;5;2;4169;15;Śródziemnomorski;Egipt;21;28;2;3;3
141;Hotel Fanar & Residences;5;4;4419;8;Kontynentalny;Oman;26;35;2;1;3
142;Hotel Allegro Madeira;4;1;1749;4;Śródziemnomorski;Portugalia;19;24;2;1;3
143;Zima w imperialnych stolicach;3;3;4479;8;Kontynentalny;Rosja;10;21;9;2;3
