id,title,hotelstars,timezone,price,duration,climate,country,countryId,temperatura,landscape,type,transport,cluster
230,Strelicje na klifach,0.25,0.5714285714285714,0.22262118491921007,0.42857142857142855,Śródziemnomorski,Portugalia,0.5625,0.1428571428571428,0.25,0.5,1.0,3
231,Hotel Rayavadee,0.75,1.0,1.0,0.42857142857142855,Monsunowy,Tajlandia,1.0,0.47619047619047605,0.125,0.0,1.0,12
232,Ahoj Zanzibar!,0.25,0.7142857142857143,0.5951526032315979,0.42857142857142855,Kontynentalny,Tanzania,0.8125,0.33333333333333326,0.25,0.5,1.0,16
233,Hotel Miramare Sea Resort & Spa,0.5,0.5714285714285714,0.41831238779174146,0.42857142857142855,Śródziemnomorski,Włochy,0.375,0.2857142857142856,0.125,0.0,1.0,13
234,Ateny,0.25,0.6428571428571428,0.15888689407540396,0.14285714285714285,Śródziemnomorski,Grecja,0.4375,0.47619047619047605,1.0,0.5,1.0,8
235,Rejs do Zatoki Przemytników,0.25,0.6428571428571428,0.18716337522441653,0.5714285714285714,Śródziemnomorski,Grecja,0.4375,0.47619047619047605,0.25,0.5,1.0,18
236,Nisyros Special,0.25,0.6428571428571428,0.19254937163375227,0.6428571428571428,Śródziemnomorski,Grecja,0.4375,0.47619047619047605,0.25,0.5,1.0,18
237,Madryt,0.25,0.5714285714285714,0.1858168761220826,0.14285714285714285,Kontynentalny,Hiszpania,0.40625,0.5238095238095237,1.0,0.5,1.0,8
238,W rytmie flamenco,0.25,0.5714285714285714,0.2755834829443447,0.42857142857142855,Kontynentalny,Hiszpania,0.40625,0.5238095238095237,1.0,0.5,1.0,8
239,Gradac,0.25,0.5714285714285714,0.09946140035906642,0.21428571428571425,Śródziemnomorski,Chorwacja,0.34375,0.4285714285714284,0.125,0.5,0.5,3
240,Moja Praga,0.25,0.5714285714285714,0.06454219030520647,0.14285714285714285,Kontynentalny,Czechy,0.15625,0.19047619047619047,1.0,0.5,1.0,8
241,Tylko dla Ciebie – Sekrety Faraonów,0.25,0.6428571428571428,0.25314183123877915,0.42857142857142855,Śródziemnomorski,Egipt,0.625,0.33333333333333326,0.0,0.5,1.0,3
242,Budapeszt i Tokaj,0.25,0.5714285714285714,0.06929982046678637,0.0,Kontynentalny,Węgry,0.21875,0.33333333333333326,1.0,0.5,0.5,9
